2023-01-12 20:10:24,377 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq60, ack0, pkt_len16
2023-01-12 20:10:24,395 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack31, pkt_len16
2023-01-12 20:10:24,395 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq61, ack0, pkt_len16
2023-01-12 20:10:24,395 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq62, ack0, pkt_len16
2023-01-12 20:10:24,486 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack32, pkt_len16
2023-01-12 20:10:24,487 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq63, ack0, pkt_len16
2023-01-12 20:10:24,487 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq64, ack0, pkt_len16
2023-01-12 20:10:24,504 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack33, pkt_len16
2023-01-12 20:10:24,504 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq65, ack0, pkt_len16
2023-01-12 20:10:24,504 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq66, ack0, pkt_len16
2023-01-12 20:10:24,521 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack34, pkt_len16
2023-01-12 20:10:24,522 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq67, ack0, pkt_len16
2023-01-12 20:10:24,522 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq68, ack0, pkt_len16
2023-01-12 20:10:24,540 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack35, pkt_len16
2023-01-12 20:10:24,540 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq69, ack0, pkt_len16
2023-01-12 20:10:24,540 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq70, ack0, pkt_len16
2023-01-12 20:10:24,591 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack36, pkt_len16
2023-01-12 20:10:24,591 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq71, ack0, pkt_len16
2023-01-12 20:10:24,591 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq72, ack0, pkt_len16
2023-01-12 20:10:24,609 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack37, pkt_len16
2023-01-12 20:10:24,609 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq73, ack0, pkt_len16
2023-01-12 20:10:24,609 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq74, ack0, pkt_len16
2023-01-12 20:10:24,642 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack38, pkt_len16
2023-01-12 20:10:24,642 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq75, ack0, pkt_len16
2023-01-12 20:10:24,643 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq76, ack0, pkt_len16
2023-01-12 20:10:24,652 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack39, pkt_len16
2023-01-12 20:10:24,652 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq77, ack0, pkt_len16
2023-01-12 20:10:24,652 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq78, ack0, pkt_len16
2023-01-12 20:10:24,686 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack40, pkt_len16
2023-01-12 20:10:24,686 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq79, ack0, pkt_len16
2023-01-12 20:10:24,687 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq80, ack0, pkt_len16
2023-01-12 20:10:24,694 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack41, pkt_len16
2023-01-12 20:10:24,694 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq81, ack0, pkt_len16
2023-01-12 20:10:24,694 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq82, ack0, pkt_len16
2023-01-12 20:10:24,729 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack42, pkt_len16
2023-01-12 20:10:24,729 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq83, ack0, pkt_len16
2023-01-12 20:10:24,729 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq84, ack0, pkt_len16
2023-01-12 20:10:24,747 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack43, pkt_len16
2023-01-12 20:10:24,747 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq85, ack0, pkt_len16
2023-01-12 20:10:24,747 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq86, ack0, pkt_len16
2023-01-12 20:10:24,763 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack44, pkt_len16
2023-01-12 20:10:24,763 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq87, ack0, pkt_len16
2023-01-12 20:10:24,763 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq88, ack0, pkt_len16
2023-01-12 20:10:24,779 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack45, pkt_len16
2023-01-12 20:10:24,779 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq89, ack0, pkt_len16
2023-01-12 20:10:24,779 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq90, ack0, pkt_len16
2023-01-12 20:10:24,796 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack46, pkt_len16
2023-01-12 20:10:24,796 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq91, ack0, pkt_len16
2023-01-12 20:10:24,796 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq92, ack0, pkt_len16
